Depth [m],Age [ka BP],C. mundulus d13C [per mil PDB],C. mundulus d18O [per mil PDB] (equilibrium)
115.59,6285.290076,-0.61,2.967
115.67,6287.549618,-0.598,3.191
115.79,6290.938931,-0.469,3.45
115.91,6294.328244,-0.21,3.208
115.99,6296.587786,-0.17,3.426
116.09,6298.785714,-0.37,3.073
116.19,6300.357143,-0.131,2.947
116.29,6301.928571,-0.063,2.886
116.41,6303.814286,-0.213,3.401
116.49,6305.071429,0.009,3.294
116.57,6306.328571,-0.187,3.374
116.68,6308.057143,-0.492,3.172
116.78,6309.628571,-0.058,3.391
116.91,6311.671429,-0.118,3.187
116.98,6312.771429,-0.135,3.112
117.08,6314.342857,-0.301,3.257
117.17,6315.757143,-0.223,3.167
117.29,6317.642857,-0.185,3.219
117.41,6319.528571,-0.358,3.228
117.49,6320.785714,-0.534,3.247
117.59,6322.357143,0.006,3.217
117.69,6323.928571,0.07,3.436
117.79,6325.5,-0.112,3.328
117.91,6327.385714,-0.07,3.197
117.99,6328.642857,-0.172,3.23
118.07,6329.9,-0.221,3.282
118.19,6331.785714,0.052,3.226
118.29,6333.357143,0.068,3.426
118.41,6335.242857,0.148,3.304
118.49,6336.5,0.019,3.331
118.59,6338.071429,0.05,2.979
118.66,6339.171429,-0.015,3.35
118.79,6341.214286,-0.015,3.083
118.91,6343.625592,0.076,3.171
118.99,6345.483412,0.256,3.195
119.09,6347.805687,0.021,3.249
119.19,6350.127962,-0.046,3.148
119.29,6352.450237,-0.149,3.204
119.41,6355.236967,-0.068,3.34
119.49,6357.094787,-0.202,3.114
119.57,6358.952607,-0.203,3.204
119.69,6361.739336,-0.209,3.406
119.79,6364.061611,-0.398,3.26
119.91,6366.848341,-0.22,3.141
119.99,6368.706161,-0.206,3.308
120.09,6371.028436,0.022,3.242
120.18,6373.118483,0,3.233
120.29,6375.672986,0.185,3.316
120.41,6378.459716,-0.019,3.287
120.49,6380.317536,0.106,3.345
120.59,6382.63981,-0.137,3.334
120.69,6384.962085,-0.281,3.115
120.79,6387.28436,-0.057,3.189
120.91,6390.07109,-0.182,3.191
120.99,6392.392857,-0.307,3.296
121.06,6394.830357,0.32,3.357
121.19,6399.357143,0.13,3.223
121.29,6402.839286,-0.105,3.138
121.41,6407.017857,0.092,3.589
121.49,6409.803571,-0.13,3.367
121.59,6413.285714,0.08,3.275
121.66,6415.723214,-0.084,3.269
121.79,6420.25,-0.022,3.288
121.91,6424.428571,-0.165,3.205
121.99,6427.214286,0.073,3.191
122.09,6430.817204,-0.053,3.349
122.19,6434.903226,-0.297,3.244
122.29,6438.989247,-0.308,3.29
122.41,6443.892473,-0.145,3.473
122.49,6447.16129,-0.122,3.386
122.57,6450.430108,-0.337,3.201
122.64,6453.290323,-0.112,3.254
122.76,6458.193548,0.003,3.371
122.87,6462.688172,-0.136,3.227
