Depth ref [m],Age [ka BP],C. mundulus d13C [per mil PDB],C. mundulus d18O [per mil PDB]
225.18,19948,1.21,1.59
225.205,19950.4,1.22,1.6
225.23,19952.9,1.17,1.64
225.255,19955.3,1.02,1.4
225.28,19957.7,0.98,1.78
225.305,19960.1,1.3,1.61
225.33,19962.6,0.96,1.66
225.355,19965,0.99,1.68
225.38,19967.4,0.88,1.53
225.405,19969.9,1.28,2.01
225.43,19972.3,1.33,1.63
225.455,19974.7,0.97,1.75
225.48,19977.1,1.2,1.82
225.505,19979.6,1,1.62
225.53,19982,1.23,2.13
225.555,19984.9,0.91,1.94
225.58,19987.8,1.15,1.6
225.605,19990.7,1.32,1.66
225.63,19993.6,1.34,1.6
225.655,19996.5,1.24,1.57
225.68,19999.3,1.17,1.71
225.705,20002.2,1.1,1.73
225.73,20005.1,1.05,1.68
225.755,20008,0.84,1.7
225.78,20010.9,0.81,1.54
225.805,20013.8,0.96,1.65
225.83,20016.7,1.04,2.01
225.855,20019.6,0.89,1.82
225.88,20022.5,1.04,1.69
225.905,20025.4,1.02,1.85
225.93,20028.3,0.92,1.94
225.955,20031.1,0.96,1.78
225.98,20034,0.92,1.51
226.005,20036.9,0.84,1.32
226.03,20039.8,1.14,1.72
226.055,20042.7,1.01,1.51
226.08,20045.6,1.03,1.81
226.105,20048.5,0.89,1.6
226.13,20051.4,1.03,1.68
226.155,20054.3,0.89,1.38
226.18,20057.2,1.09,1.61
226.205,20060,0.87,1.26
226.23,20062.9,1.01,1.24
226.255,20065.8,1.11,1.22
226.305,20071.6,0.91,1.68
226.33,20074.5,0.98,1.73
