Depth c top [mcd],Age [ka BP],Foram bent d13C [per mil PDB],Foram bent d18O [per mil PDB]
394.46,17957,0.44,1.42
394.56,17964,0.38,1.53
394.66,17970,0.43,1.53
394.76,17977,0.51,1.34
394.86,17984,0.33,1.27
394.96,17991,0.3,1.44
395.06,17997,0.4,1.8
395.16,18004,0.52,1.94
395.26,18011,0.61,1.8
395.36,18018,0.61,1.63
395.46,18025,0.71,1.66
395.55,18031,0.31,1.227
395.65,18038,0.438,1.614
395.75,18044,0.461,1.432
395.85,18051,0.313,1.166
395.95,18058,0.301,1.056
396.05,18065,0.513,1.366
396.15,18072,0.52,1.429
396.25,18079,0.062,1.386
396.35,18087,0.375,1.683
396.45,18094,0.568,1.712
396.55,18101,0.68,1.702
396.65,18108,0.441,1.442
396.75,18115,0.418,1.387
396.85,18122,0.689,1.593
396.95,18129,0.579,1.704
397.05,18136,0.616,1.777
397.15,18144,0.574,1.754
397.25,18151,0.59,1.76
397.35,18157,0.749,1.435
397.45,18163,0.579,1.705
397.55,18170,0.702,1.708
397.65,18176,0.593,1.59
397.75,18183,0.486,1.567
397.85,18189,0.39,1.51
397.95,18195,0.464,1.705
398.05,18202,0.454,1.703
398.15,18208,0.582,1.722
398.25,18215,0.482,1.369
398.35,18221,0.453,1.065
398.45,18228,0.688,1.37
398.55,18234,0.502,1.178
398.65,18241,0.318,1.446
398.75,18247,0.337,1.547
398.85,18253,0.618,1.262
398.95,18260,0.686,1.754
399.05,18266,0.663,1.737
399.15,18273,0.692,1.65
399.25,18279,0.825,1.997
399.35,18286,0.657,1.696
399.45,18292,0.607,1.691
399.55,18299,0.653,1.751
399.65,18305,0.736,1.6
399.75,18311,0.733,1.798
399.85,18318,0.575,1.491
399.95,18324,0.739,1.347
400.05,18331,0.543,1.485
400.12,18335,0.317,1.752
400.32,18348,0.293,1.953
400.52,18359,0.711,1.72
400.64,18366,0.632,1.835
400.7,18369,0.564,1.961
400.78,18374,0.471,1.82
400.85,18378,0.658,1.75
400.92,18382,0.69,1.754
400.99,18386,0.5,1.686
401.09,18392,0.51,2.103
401.2,18398,0.449,1.908
401.27,18402,0.67,1.818
401.42,18411,0.237,1.609
401.52,18417,0.322,1.651
401.62,18422,0.399,1.75
401.72,18428,0.335,1.522
401.82,18434,0.459,1.35
401.92,18440,0.472,1.73
402.02,18446,0.542,1.6
402.12,18452,0.21,1.53
402.22,18458,0.621,2.017
402.32,18464,0.63,1.98
402.42,18470,0.514,1.73
402.52,18476,0.604,1.647
402.62,18481,0.559,1.909
402.72,18487,0.493,1.935
402.82,18493,0.788,1.907
402.92,18499,0.681,1.461
403.02,18505,0.488,1.715
403.12,18511,0.491,1.819
403.22,18517,0.449,1.731
403.32,18523,0.709,1.326
403.42,18528,0.555,1.562
403.52,18533,0.272,1.53
403.62,18538,0.525,1.657
403.72,18542,0.575,1.574
403.82,18547,0.61,1.562
403.92,18552,0.843,1.739
404.02,18557,0.796,1.777
404.12,18562,0.573,1.747
404.22,18567,0.659,1.889
404.28,18570,0.609,1.639
404.42,18576,0.609,1.612
404.52,18581,0.569,1.587
404.62,18586,0.569,1.432
404.72,18591,0.167,1.485
404.82,18596,0.219,1.393
404.92,18601,0.597,1.783
405.02,18605,0.619,1.801
405.12,18610,0.676,1.771
405.22,18615,0.712,1.649
405.32,18620,0.76,1.79
405.42,18625,0.773,1.756
405.52,18630,0.68,1.849
405.62,18635,0.59,1.83
405.72,18639,0.55,1.54
405.82,18644,0.419,1.653
405.92,18649,0.631,1.776
406.02,18654,0.799,1.731
406.12,18659,0.495,1.492
406.22,18664,0.559,1.504
406.32,18669,0.535,1.618
406.42,18673,0.505,1.692
406.44,18674,0.386,1.247
406.54,18679,0.437,1.356
406.64,18684,0.538,1.936
406.74,18689,0.587,1.717
406.84,18694,0.564,1.716
406.94,18699,0.35,1.787
407.04,18703,0.544,1.793
407.14,18708,0.55,1.748
407.24,18713,0.541,1.328
407.34,18718,0.638,1.203
407.44,18724,0.428,1.264
407.54,18730,0.366,1.31
407.64,18736,0.399,1.652
407.74,18742,0.396,1.117
407.84,18748,0.476,1.917
407.94,18754,0.374,1.39
408.04,18760,0.439,1.344
408.14,18766,0.308,1.392
408.24,18772,0.32,1.49
408.34,18778,0.072,1.269
408.44,18784,0.266,1.48
408.54,18790,0.561,1.581
