Age [Ma],_13C [per mil PDB]
23.45,1.24
23.453,0.96
23.456,1.2
23.459,1.14
23.462,1.08
23.465,0.93
23.468,0.93
23.47,1
23.473,0.96
23.476,1.12
23.479,1.07
23.481,1.12
23.484,1.02
23.487,1
23.49,0.77
23.492,1.13
23.495,1.02
23.499,1.05
23.501,1.38
23.504,0.97
23.507,1.39
23.509,1.13
23.512,1.2
23.515,1.07
23.518,1.06
23.52,0.92
23.523,1.29
23.526,1.09
23.528,1.25
23.534,0.71
23.537,0.94
23.542,0.91
23.545,0.99
23.547,1.13
23.55,0.81
23.552,0.86
23.554,1
23.557,0.83
23.559,1.04
23.562,1.1
23.564,1.16
23.569,1
23.572,1.06
23.574,0.97
23.579,0.86
23.582,0.99
23.585,1.24
23.591,1.14
23.595,0.74
23.598,1.26
23.601,1.15
23.604,1.22
23.608,1.01
23.611,1.07
23.614,0.82
23.617,0.79
23.62,1
23.624,1
23.628,0.78
23.632,0.86
23.636,0.86
23.64,1.01
23.644,0.76
23.648,0.81
23.651,0.79
23.655,0.72
23.659,0.62
23.663,1.04
23.67,0.99
23.674,0.57
23.678,0.58
23.682,0.58
23.685,0.49
23.689,0.63
23.693,0.56
23.697,0.74
23.7,0.51
23.704,0.61
23.708,0.67
23.712,0.55
23.715,0.47
23.719,0.41
23.723,0.71
23.726,0.4
23.73,0.35
23.734,0.41
23.738,0.17
23.741,0.54
23.745,0.28
23.748,0.52
23.752,0.64
23.755,0.16
23.759,0.51
23.762,0.51
23.766,0.19
23.769,0.44
23.773,0.73
23.776,0.3
23.78,0.73
23.783,0.79
23.786,0.64
23.789,0.63
23.792,0.82
23.795,0.7
23.798,0.76
23.801,0.64
23.805,0.7
23.808,0.67
23.811,0.7
23.814,0.44
23.817,0.39
23.82,0.55
23.823,0.63
23.826,0.67
23.829,0.48
23.832,0.45
23.835,0.66
23.838,0.67
23.841,0.93
23.844,0.7
23.847,0.89
23.85,0.99
23.853,0.81
23.856,0.52
23.859,0.82
23.862,0.85
23.868,0.83
23.871,0.78
23.874,0.76
23.877,0.94
23.88,0.88
23.883,1.01
23.886,0.96
23.889,0.66
23.892,0.89
23.897,0.42
23.9,0.8
23.902,0.68
23.904,1.11
23.907,0.8
23.909,0.92
23.912,0.86
23.914,0.94
23.916,0.91
23.919,1
23.921,0.94
23.923,0.87
23.926,0.82
23.928,0.82
23.931,0.78
23.933,0.95
23.935,0.58
23.938,1.06
23.94,0.66
23.943,0.92
23.945,0.99
23.947,1.03
23.95,0.91
23.952,0.9
23.954,0.95
23.957,0.89
23.959,0.73
23.962,0.61
23.964,0.79
23.969,0.8
23.971,0.75
23.974,0.74
23.976,0.62
23.978,0.56
23.981,0.96
23.983,0.63
23.985,1.14
23.988,0.78
23.99,0.88
23.993,0.64
23.995,0.68
23.997,0.75
24,0.66
24.002,0.57
24.005,0.59
24.007,0.56
24.009,0.81
24.012,0.69
24.023,0.86
24.029,0.41
24.035,0.49
24.04,0.49
24.046,0.55
24.052,0.36
24.058,0.56
24.075,0.67
24.081,0.44
24.086,0.68
24.092,0.54
24.104,0.38
24.109,0.68
24.115,0.86
24.127,0.63
24.132,1.01
24.137,0.65
24.147,0.96
24.152,0.82
24.157,0.76
24.162,0.9
24.167,0.81
24.172,0.91
24.177,0.73
24.184,0.59
24.187,0.88
