AgeD17MT,benthic d13C
7.48294,1.34
7.48541,1.24
7.48788,1.32
7.49035,1.34
7.49282,0.98
7.49529,1.07
7.50024,1.35
7.50271,1.35
7.50518,1.21
7.50765,1.36
7.51012,1.33
7.51259,1.38
7.51506,1.19
7.51753,1.31
7.52,1.4
7.52247,1.41
7.52494,1.39
7.52741,1.41
7.52988,1.45
7.53235,1.4
7.53482,1.38
7.53729,1.31
7.53976,1.42
7.54224,1.4
7.54718,1.43
7.54965,1.37
7.55212,1.38
7.55459,1.59
7.55706,1.35
7.55953,1.53
7.562,1.44
7.56447,1.48
7.56694,1.49
7.56966,1.58
7.57213,1.52
7.57435,1.31
7.57682,1.56
7.57929,1.43
7.58176,1.38
7.58424,1.33
7.58671,1.41
7.58918,1.43
7.59165,1.39
7.59412,1.39
7.59659,1.52
7.59906,1.63
7.60153,1.66
7.604,1.68
7.60894,1.47
7.61635,1.43
7.62129,1.41
7.62401,1.43
7.62624,1.52
7.62871,1.23
7.63118,1.45
7.63365,1.58
7.63439,1.6
7.63612,1.5
7.63859,1.53
7.63884,1.52
7.63884,1.66
7.64106,1.5
7.64131,1.54
7.64353,1.51
7.64378,1.58
7.646,1.53
7.64629,1.64
7.6489,1.52
7.64918,1.55
7.65208,1.59
7.65498,1.49
7.65787,1.58
7.66077,1.49
7.66366,1.44
7.66656,1.35
7.66945,1.39
7.67235,1.54
7.67582,1.59
7.67582,1.54
7.67814,1.69
7.68103,1.61
7.68393,1.58
7.68682,1.56
7.68972,1.61
7.69261,1.59
7.69551,1.6
7.6984,1.62
7.7013,1.6
7.70419,1.6
7.70709,1.52
7.70767,1.44
7.70998,1.45
7.71056,1.42
7.71288,1.49
7.71346,1.43
7.71577,1.39
7.71635,1.35
7.71809,1.5
7.71925,1.43
7.72156,1.51
7.72214,1.49
7.72446,1.42
7.72504,1.45
7.72736,1.62
7.72793,1.38
7.73025,1.71
7.73025,1.63
7.73083,1.41
7.73315,1.63
7.73372,1.34
7.73662,1.46
7.73951,1.47
7.74241,1.51
7.74531,1.35
7.7482,1.46
7.7511,1.46
7.75399,1.47
7.75689,1.35
7.75978,1.65
7.76268,1.51
7.76557,1.49
7.76847,1.48
7.77136,1.54
7.77426,1.48
7.77715,1.42
7.78005,1.48
7.78294,1.32
7.78584,1.31
7.78873,1.23
7.79163,1.29
7.79452,1.07
7.79742,1.07
7.80031,1.42
7.80321,1.43
7.80611,1.54
7.809,1.37
7.81097,1.45
7.81293,1.43
7.8149,1.41
7.81686,1.4
7.81883,1.26
7.82079,1.46
7.82276,1.52
7.82473,1.37
7.82866,1.3
7.83062,1.25
7.83259,1.22
7.83455,1.11
7.83652,1.12
7.83848,0.79
7.84045,1.05
7.84242,0.93
7.84261,1.17
7.84438,1.02
7.84458,1.45
7.84635,0.89
7.84654,1.19
7.84831,0.77
7.84851,0.99
7.85028,0.76
7.85048,0.97
7.85224,1.1
7.85244,0.94
7.85421,1.06
7.85441,0.97
7.85618,0.99
7.85637,0.95
7.85814,1.03
7.85834,0.94
7.86011,0.89
7.8603,1.08
7.86207,0.87
7.86227,0.99
7.86423,0.97
7.8662,0.71
7.86817,0.72
7.87013,1.12
7.8721,1.15
7.8721,1.15
7.87406,1.09
7.87603,1.11
7.87799,1.12
7.87996,1.12
7.88193,1.02
7.88389,0.99
