Age (Ma) (automatic) (3),d13Cvpdb
27.009,0.871
27.010,0.583
27.010,0.643
27.014,0.847
27.021,0.858
27.024,0.678
27.027,0.491
27.027,0.666
27.027,0.666
27.027,0.666
27.027,0.666
27.027,0.666
27.027,0.870
27.031,0.887
27.031,0.810
27.035,0.550
27.043,0.644
27.043,0.732
27.056,0.577
27.068,0.587
27.082,0.629
27.090,0.596
27.091,0.593
27.096,0.772
27.102,0.449
27.104,0.670
27.110,0.821
27.123,0.510
27.127,0.967
27.133,1.095
27.141,0.796
27.154,0.468
27.170,0.580
27.183,0.493
27.194,0.644
27.202,0.930
27.206,0.530
27.207,0.537
27.209,0.421
27.210,0.450
27.210,0.541
27.214,0.523
27.216,0.614
27.218,0.843
27.221,0.658
27.224,0.752
27.225,0.610
27.228,0.258
27.235,0.010
27.238,0.339
27.244,0.456
27.245,0.594
27.250,0.392
27.257,0.574
27.260,0.685
27.264,0.649
27.271,0.579
27.275,0.417
27.283,0.613
27.296,0.566
27.296,0.546
27.300,0.374
27.302,0.380
27.303,0.320
27.307,0.404
27.308,0.430
27.310,0.434
27.314,0.447
27.318,0.431
27.323,0.348
27.338,0.448
27.347,0.232
27.354,0.334
27.359,0.370
27.364,0.217
27.370,0.260
27.375,0.575
27.379,0.804
27.384,0.978
27.388,0.510
27.399,0.711
27.412,0.530
27.413,0.510
27.417,0.655
27.417,0.505
27.424,0.746
27.431,0.683
27.431,0.548
27.432,0.670
27.437,0.428
27.447,0.588
27.450,0.708
27.453,0.737
27.462,0.598
27.470,0.603
27.471,0.467
27.471,0.602
27.482,0.598
27.491,0.921
27.491,0.640
27.492,0.630
27.497,0.796
27.497,0.733
27.500,0.867
27.500,0.753
27.502,0.680
27.504,0.778
27.504,0.754
27.504,0.804
27.511,0.443
27.515,0.587
27.515,0.635
27.515,0.543
27.516,0.680
27.520,0.658
27.520,0.705
27.528,0.763
27.528,0.737
27.529,0.630
27.532,0.785
27.532,0.900
27.533,0.671
27.533,0.550
27.535,0.637
27.535,0.761
27.536,0.631
27.539,0.617
27.539,0.628
27.542,0.770
27.544,0.788
27.545,0.600
27.546,0.807
27.546,0.829
27.546,0.837
27.548,0.738
27.552,0.468
27.552,0.440
27.559,0.423
27.559,0.558
27.560,0.401
27.560,0.733
27.560,0.637
27.563,0.557
27.564,0.530
27.564,0.317
27.566,0.392
27.568,0.210
27.569,0.292
27.569,0.405
27.572,0.490
27.572,0.455
27.576,0.658
27.586,0.644
27.598,0.510
27.598,0.657
27.608,0.464
27.610,0.298
27.615,0.558
27.615,0.276
27.619,0.477
27.619,0.505
27.631,0.521
27.646,0.430
27.646,0.609
27.662,0.483
27.678,0.480
27.690,0.421
27.695,0.276
27.695,0.411
27.701,0.439
27.703,0.261
27.708,0.317
27.708,0.581
27.722,0.139
27.722,0.041
27.723,0.457
27.728,0.252
27.729,0.466
27.735,0.449
27.739,0.027
27.742,0.360
27.746,0.114
27.749,0.292
27.759,0.176
27.764,0.184
27.768,0.396
27.768,0.823
27.772,0.518
27.772,0.656
27.776,0.546
27.780,0.363
27.785,0.574
27.785,0.485
27.798,0.699
27.809,0.556
27.809,0.714
27.821,0.592
27.825,0.640
27.834,0.353
27.884,0.991
27.884,0.680
27.889,0.670
27.896,0.277
27.912,0.586
27.917,0.593
27.925,0.552
27.925,0.454
27.938,0.799
27.940,0.717
27.943,0.890
27.943,0.560
27.947,0.729
27.951,0.793
27.960,0.891
27.960,0.570
27.975,0.763
27.986,0.674
28.000,0.278
28.008,0.258
28.019,0.436
28.026,0.399
28.028,0.294
28.031,0.802
28.035,0.622
28.046,0.481
28.058,0.427
28.070,0.357
28.075,0.165
28.077,0.368
28.078,0.134
28.084,0.825
28.089,0.266
28.096,0.110
28.097,0.053
28.097,0.010
28.100,0.267
28.100,0.008
28.104,0.466
28.109,0.549
28.112,0.148
28.113,0.180
28.113,0.442
28.115,0.405
28.122,0.136
28.128,0.136
28.129,0.270
28.131,0.302
28.134,0.429
28.134,0.259
28.137,0.368
28.137,0.220
28.146,0.338
28.153,0.072
28.155,0.210
28.156,-0.008
28.160,0.143
28.164,0.316
28.173,0.573
28.185,0.565
28.185,0.401
28.190,0.330
28.194,0.367
28.201,0.426
28.204,0.335
28.211,0.154
28.211,0.301
28.220,0.427
28.226,0.340
28.229,0.070
28.237,0.182
28.237,0.338
28.240,0.783
28.250,0.376
28.252,0.378
28.252,0.078
28.253,0.499
28.259,0.331
28.260,0.380
28.261,0.750
28.268,0.424
28.272,0.636
28.276,0.384
28.281,0.451
28.287,0.490
28.293,0.461
28.294,0.650
28.296,0.963
28.304,0.565
28.313,0.544
28.326,0.445
28.339,0.470
28.352,0.375
28.352,0.300
28.364,0.781
28.377,0.596
28.383,0.347
28.386,0.325
28.390,0.316
28.393,0.377
28.396,0.538
28.399,0.403
28.402,0.480
28.405,0.520
28.407,0.400
28.408,0.494
28.411,0.364
28.419,0.727
28.425,0.639
28.430,0.622
28.433,0.641
28.434,0.500
28.439,0.242
28.444,0.225
28.456,0.445
28.457,0.500
28.460,0.359
28.469,0.354
28.471,0.412
28.474,0.056
28.476,0.267
28.476,0.460
28.484,0.149
28.487,0.170
28.491,0.421
28.498,0.426
28.503,0.649
28.503,0.649
28.503,0.649
28.503,0.649
28.504,0.275
28.506,0.353
28.509,-0.025
28.511,0.120
28.516,-0.003
28.525,0.264
28.528,0.420
28.539,0.283
28.557,0.057
28.557,0.070
28.569,0.272
28.573,0.083
28.576,0.150
28.580,-0.138
28.584,0.041
28.587,0.227
28.591,0.072
28.595,0.195
28.599,0.070
28.603,-0.183
28.604,0.102
28.607,0.062
28.609,0.414
28.614,0.602
28.623,0.375
28.625,0.267
28.627,0.100
28.628,0.006
28.630,0.177
28.631,0.261
28.631,-0.062
28.633,0.095
28.633,0.101
28.634,0.233
28.634,0.444
28.635,0.474
