Depth [m],Age [ka BP],Foram bent δ13C [‰ PDB],Foram bent δ18O [‰ PDB]
121.93,21559,0.5,1.81
121.98,21563,0.49,1.53
122.03,21568,0.41,1.85
122.08,21573,0.63,1.89
122.13,21578,0.51,2
122.18,21582,0.81,2.01
122.23,21587,0.19,1.88
122.29,21593,0.45,1.84
122.34,21598,0.31,1.71
122.38,21601,0.63,1.65
122.43,21606,0.29,1.6
122.46,21609,0.47,1.5
122.53,21616,0.7,1.73
122.58,21619,0.53,1.61
122.63,21623,0.39,1.73
122.68,21627,0.47,1.48
122.73,21630,0.3,1.59
122.79,21635,0.25,1.13
122.83,21638,0.51,1.32
122.88,21641,0.61,1.29
122.93,21645,0.33,1.15
122.98,21650,0.79,2.24
123.03,21656,0.36,1.92
123.08,21661,0.47,1.99
123.13,21666,0.61,2.04
123.48,21704,0.81,1.5
123.53,21709,0.63,1.51
123.58,21714,0.65,1.19
123.63,21720,0.42,1.3
123.68,21725,0.96,1.46
123.73,21730,0.6,1.36
123.88,21744,0.26,0.75
123.93,21748,0.89,1.74
123.98,21753,0.32,1.02
124.08,21761,0.8,1.19
124.13,21765,0.52,1.31
124.33,21782,0.77,1.38
124.38,21786,0.95,1.69
124.43,21790,0.61,1.53
124.48,21795,1.35,1.9
124.53,21799,1.22,1.53
124.58,21803,1.24,1.71
125.48,21879,1.42,1.83
125.53,21883,1.25,1.67
125.63,21892,0.93,1.79
125.68,21896,0.97,1.74
