Ma,U1146 bent d13C [per mil PDB] (Cibicidoides wuellerstorfi + ..,U1146 bent d18O [per mil PDB] (Cibicidoides wuellerstorfi + ..
6.492620385,0.17,2.65
6.494613543,0.16,2.49
6.495809438,0.068,2.44
6.497802596,-0.12,2.51
6.499795754,0.009,2.59
6.501788911,0.032,2.66
6.503782069,-0.056,2.61
6.505775227,-0.062,2.6
6.507768385,-0.089,2.32
6.509761542,-0.17,2.61
6.5117547,-0.23,2.46
6.513747858,0.06,2.56
6.515741016,0.034,2.74
6.517734174,0.099,2.64
6.519727331,0.091,2.65
6.521720489,0.13,2.48
6.523713647,0.21,2.7
6.525706805,0.055,2.49
6.527699963,-0.051,2.3
6.52969312,0.12,2.59
6.531686278,-0.064,2.54
6.533679436,0.062,2.49
6.535672594,0.094,2.42
6.537665752,0.038,2.65
6.539658909,-0.11,2.51
6.541652067,0.045,2.48
6.543645225,0.018,2.47
6.545638383,-0.3,2.46
6.54763154,-0.21,2.42
6.549624698,-0.29,2.25
6.551617856,-0.25,2.45
6.553611014,-0.31,2.56
6.555600406,-0.23,2.52
6.5575872,-0.36,2.63
6.559573995,-0.38,2.44
6.56156079,-0.13,2.51
6.563547584,-0.19,2.53
6.565534379,-0.038,2.6
6.567521174,-0.2,2.55
6.569507968,0.018,2.39
6.571494763,0.048,2.36
6.573481557,0.021,2.31
6.575468352,-0.029,2.35
6.577455147,-0.075,2.45
6.579441941,-0.034,2.62
6.581428736,-0.07,2.55
6.583415531,-0.005,2.58
6.585402325,0.063,2.47
6.58738912,0.027,2.55
6.589375914,-0.03,2.48
6.591362709,0.005,2.48
6.593349504,-0.012,2.36
6.595336298,-0.067,2.53
6.597323093,-0.08,2.49
6.599309888,-0.004,2.62
6.601296682,0,2.52
6.603283477,-0.043,2.47
6.605270271,0.042,2.58
6.607257066,0.006,2.51
6.609243861,0.069,2.6
6.611230655,-0.057,2.49
6.61321745,-0.027,2.56
6.615204245,-0.1,2.45
6.617191039,-0.052,2.48
6.619177834,-0.03,2.46
6.621164629,-0.085,2.59
6.623151423,-0.18,2.42
6.625138218,-0.19,2.44
6.627125012,-0.33,2.49
6.629111807,-0.24,2.52
6.633085396,-0.29,2.43
6.635072191,-0.29,2.57
6.637058986,-0.43,2.47
6.63904578,-0.41,2.53
6.641032575,-0.34,2.46
6.643019369,-0.16,2.55
6.645006164,-0.27,2.49
6.646992959,-0.2,2.49
6.648979753,-0.29,2.41
6.650966548,-0.36,2.41
6.652953343,-0.059,2.39
6.654940137,-0.35,2.41
6.656926932,0.033,2.46
6.658913726,-0.19,2.45
6.660900521,-0.18,2.52
6.662887316,-0.21,2.42
6.66487411,-0.21,2.48
6.666860905,-0.13,2.31
6.6688477,-0.45,2.4
6.670834494,-0.22,2.35
6.672821289,-0.18,2.19
6.674706853,-0.19,2.24
6.676469394,-0.52,2.19
6.678231936,-0.36,2
6.679994478,-0.48,2.43
6.68175702,-0.28,2.14
6.683519562,-0.63,2.4
